Column1	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9	Column10	Column11	Column12	Column13	Column14	Column15	Column16	Column17	Column18	Column19	Column20	Column202	Column21
56	1561894613	0.996027832251539	0.04570613643747373	-0.039155064897026394	-0.06562307037291581	-0.03787854269024328	0.03514131693205541	-0.27885733975674243	-1.770751953125	-0.0615234375	-1.16357421875	0.7119077	0.17480426	-0.6183881	0.28324392	12.570942	9.397722	-16.384266	Scatto 10m	4	Petto
57	1561911280	0.9999423425037017	-0.009241875821785761	0.0014255118406842904	-0.005278950226728308	0.5906365583656894	-0.014631378383262741	0.26815349362388086	-1.77001953125	-0.10400390625	-1.143798828125	0.7124684	0.17015924	-0.62054306	0.2799305	-9.63349	-3.5662744	27.736	Scatto 10m	4	Petto
58	1561927947	0.998508956079017	-0.02845732061780426	-0.04460052342115379	0.013447633390537422	0.5555692765156155	-0.11887450107402453	0.33917146567363377	-1.755615234375	-0.09765625	-1.085205078125	0.6815817	0.15316582	-0.66288024	0.26940063	-9.420167	-11.225327	27.084602	Scatto 10m	4	Petto
59	1561944614	0.9993083788327467	0.0014526542404674214	-0.026108716403497077	0.0264383947713755	0.22993670049533035	-0.07198035703676516	-0.1112007976081337	-1.724609375	-0.0556640625	-1.00634765625	0.65337694	0.142953	-0.6847085	0.28954688	7.5094247	2.690843	3.9669743	Scatto 10m	4	Petto
60	1561961281	0.9992251757505048	-0.012015969601395615	0.006460881990876217	0.03691776841591307	-0.023213024963306253	-0.3155823083442909	-0.34000002726358103	-1.718505859375	0.003662109375	-1.010498046875	0.644956	0.107321955	-0.68969417	0.31118444	27.593487	-3.1104958	-7.460314	Scatto 10m	4	Petto
61	1561977948	0.9990285606270326	0.031437963831526194	0.019021778420904828	0.024326146988640513	0.07025821719363055	-0.18043110394234363	-0.38387295986785197	-1.712890625	0.0732421875	-1.036376953125	0.64248395	0.10419035	-0.67077255	0.35556006	24.19075	5.9092145	-3.0834727	Scatto 10m	4	Petto
62	1561994615	0.9972133127950343	0.05296596180671276	0.05248953300999718	0.0022504663150653137	0.17932430639059754	0.19784204098067337	0.18537487664494368	-1.738525390625	0.12890625	-1.168212890625	0.6651936	0.1168427	-0.6180587	0.4023293	-17.587973	5.1004977	-3.1030855	Scatto 10m	4	Petto
71	1562144618	0.9276427885948045	-0.2850239099234958	0.19475705706963178	-0.1425128634950326	2.146936540654646	-1.739864179637842	-0.4356288118079269	-1.804443359375	-0.202392578125	-1.526123046875	0.80357975	-0.07286388	-0.5692202	0.15792133	33.202736	-10.276998	25.391674	Scatto 10m	4	Petto
72	1562161285	0.9990303749947806	-0.012525498722604445	0.02360790836816468	0.03498697446219534	0.1516615692177921	-0.01964787859179537	-0.3617000892079182	-1.796875	-0.12255859375	-1.591552734375	0.8065543	-0.10665101	-0.55241096	0.18148822	23.265322	3.5165656	-8.600003	Scatto 10m	4	Petto
75	1562211286	0.9908778314183115	0.11788613263319958	0.011399813814737371	0.06429640099975571	-1.1238445735888487	-0.2794631270204089	0.09759676461110134	-1.779296875	-0.006591796875	-1.64013671875	0.7952588	-0.050178006	-0.518779	0.3096998	-12.970257	-24.455194	-26.809772	Scatto 10m	4	Petto
76	1562227953	0.9997881535093505	0.018895050474776187	0.008104835932466138	9.678865775642476E-4	-0.2861097553948954	-0.07008838587225488	0.2536760380435317	-1.777099609375	-0.0087890625	-1.663330078125	0.7964262	-0.039114345	-0.5086674	0.3247047	-15.641989	-16.554783	-14.839083	Scatto 10m	4	Petto
77	1562244620	0.9996368678761955	0.02618027136839507	-0.006346810272743475	-6.661629745269849E-4	0.07299111421054397	-0.03626879926595143	0.14893300173243273	-1.780029296875	-0.02001953125	-1.66455078125	0.79082644	-0.016967218	-0.5069252	0.34253833	-5.2708654	-1.6740749	-1.2580223	Scatto 10m	4	Petto
