2	 1287411352	 0.9999939325689142	 -0.0034679638270976587	 -3.2753038513405613E-4	 -2.7858544143499753E-5	 -0.16795921716267784	 0.016831598277125093	 0.0028009809100986126	 0.070068359375	 -0.00244140625	 -0.856689453125	 0.63528925	 0.30451337	 0.450765	 -0.5481699	 1.0964788	 4.3078914	 -0.7105427	1000 metri	5	Braccio
3	 1287428019	 0.999991334417229	 -0.00415149287368255	 -9.867922129058738E-5	 -2.940404406831521E-4	 -0.1618151765745923	 0.015242604791538203	 0.0014915708410052492	 0.068115234375	 -0.00732421875	 -0.855712890625	 0.64069617	 0.3382413	 0.4775995	 -0.49699116	 0.41680205	 3.2076073	 -0.6128311	1000 metri	5	Braccio
4	 1287444686	 0.9999894786740494	 -0.004570370477749469	 -1.0382925880125794E-4	 -3.7878012604253275E-4	 -0.14971554166132395	 0.015533699056472658	 0.0017915590796028715	 0.065185546875	 -0.009033203125	 -0.853759765625	 0.6411001	 0.35901764	 0.49814507	 -0.46037865	 0.19587044	 2.2764764	 -1.074563	1000 metri	5	Braccio
5	 1287461353	 0.9999904909412585	 -0.004356550704679205	 -9.961850865397581E-5	 -1.6902417317626875E-4	 -0.14241588765594337	 0.01045876830361158	 0.003930535262462072	 0.065673828125	 -0.015869140625	 -0.849853515625	 0.6400905	 0.3715014	 0.51234	 -0.43563604	 -0.14979592	 1.5022382	 -1.3754969	1000 metri	5	Braccio
6	 1287478020	 0.9999908728892665	 -0.00424948943615884	 3.5980282287884085E-4	 2.5791398475982774E-4	 -0.1463476526673676	 0.0063724458837505545	 0.01099840035433755	 0.066162109375	 -0.014892578125	 -0.847412109375	 0.63854647	 0.3790785	 0.52245945	 -0.41903958	 -0.31789666	 0.75414413	 -1.0369692	1000 metri	5	Braccio
8	 1287511354	 0.9999469720750719	 -0.009867183996844248	 0.0024604830377336078	 0.001624112400288813	 -0.33710011451023797	 0.016964958075409434	 0.037913580896450576	 0.06640625	 -0.02783203125	 -0.84228515625	 0.63669795	 0.38519016	 0.5362155	 -0.3983933	 -0.14174521	 0.20096229	 0.768404	1000 metri	5	Braccio
10	 1287544688	 0.99996525096232	 -0.00798637195853246	 0.001994342631088553	 0.0013180774916107252	 -0.35755393121801693	 0.028378083106054365	 0.025322381800144334	 0.06201171875	 -0.04052734375	 -0.83056640625	 0.63633186	 0.38641632	 0.5441025	 -0.38693246	 -0.02895007	 0.62753856	 1.0368509	1000 metri	5	Braccio
12	 1287578022	 0.9999952250970439	 0.0010888943162369533	 -0.002548903627809185	 0.0013664488928223362	 -0.3610819174645492	 0.040566610002777496	 -0.002538083812181054	 0.0673828125	 -0.0419921875	 -0.834716796875	 0.63579845	 0.39013368	 0.5441629	 -0.38398293	 -0.17631797	 1.4539274	 0.983448	1000 metri	5	Braccio
14	 1287611356	 0.9999556969648965	 0.006423887978974287	 -0.006660287030099966	 0.0017257889089182799	 -0.3388407711242065	 0.030781935986086226	 -0.032133017400131046	 0.07275390625	 -0.0400390625	 -0.850341796875	 0.63524675	 0.39587742	 0.5394394	 -0.3856784	 -0.8784439	 1.8039912	 -0.10803032	1000 metri	5	Braccio
15	 1287628023	 0.9999914347635636	 0.0011169004341935046	 -0.003873565611456409	 9.372419022675716E-4	 -0.15774796312837908	 0.007740957936835944	 -0.016543029914430456	 0.074462890625	 -0.039306640625	 -0.857421875	 0.635749	 0.39732927	 0.537632	 -0.3858816	 -1.0802649	 1.6332172	 -0.48757458	1000 metri	5	Braccio
17	 1287661357	 0.9999680391622806	 -0.005229469294161904	 -0.005969774301670394	 9.670054974061927E-4	 -0.3105855802571921	 0.017964692115637077	 -0.021160000522193554	 0.08154296875	 -0.0458984375	 -0.871337890625	 0.6379896	 0.3955673	 0.53836465	 -0.38296142	 -0.7352716	 1.2091635	 -0.5960798	1000 metri	5	Braccio
19	 1287694691	 0.9999583072450579	 -0.008565409436595381	 -0.00316471110300709	 4.622138359205997E-5	 -0.298903491216741	 0.03279301846975894	 0.005813563066106884	 0.0849609375	 -0.05078125	 -0.874755859375	 0.6399255	 0.3918309	 0.542132	 -0.37822887	 0.0397187	 0.45842215	 -0.92465687	1000 metri	5	Braccio
21	 1287728025	 0.9999801650145127	 -0.005979102472615037	 -0.0017707202487050044	 8.856980132823101E-4	 -0.2622913373488818	 0.030337966119033985	 0.04421312009634298	 0.086669921875	 -0.05859375	 -0.87646484375	 0.6413225	 0.3900209	 0.5447444	 -0.37395588	 0.4866771	 -0.60302097	 -2.3473907	1000 metri	5	Braccio
23	 1287761359	 0.9999821430371325	 -0.0012029506704650805	 -0.004095585448214257	 0.004182427092551234	 -0.10967611348710421	 0.04138846279851832	 0.03136303092609599	 0.090576171875	 -0.069580078125	 -0.884033203125	 0.644401	 0.39138162	 0.5419941	 -0.37122816	 1.305699	 0.051365793	 -7.9940352	1000 metri	5	Braccio
24	 1287778026	 0.9999757234275142	 0.004165819957256983	 -0.002733707145552822	 0.004870866960377196	 0.029221382539466843	 0.022029553012011312	 -4.220411595225286E-4	 0.093505859375	 -0.073486328125	 -0.88818359375	 0.6457977	 0.39621025	 0.5370886	 -0.37080836	 1.4227875	 0.48340243	 -11.413494	1000 metri	5	Braccio
26	 1287811360	 0.9999174888968861	 0.004283737001755397	 -0.0023097568227334335	 0.011888230266326072	 0.09828718462317895	 -0.03662632987213009	 -0.016990911253354026	 0.1005859375	 -0.08984375	 -0.89208984375	 0.6495701	 0.40540433	 0.5296607	 -0.36491886	 -2.0233345	 -0.35393646	 -12.941612	1000 metri	5	Braccio
